threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
-5.0,0.1,31617,25488,6129,1.0,0.998533724340176,0.0014662756598240456,0.8061485909479078
-5.0,0.2,31473,25488,5985,1.0,0.9750733137829912,0.024926686217008776,0.8098370031455533
-5.0,0.3,29861,25486,4375,0.9999215317011927,0.712772890192245,0.287227109807755,0.8534878269314491
-5.0,0.4,28231,25450,2781,0.9985091023226617,0.4530791788856305,0.5469208211143695,0.9014912684637455
-5.0,0.5,26114,24812,1302,0.9734777150031387,0.21212121212121213,0.7878787878787878,0.9501416864517117
-5.0,0.6,23899,23397,502,0.9179613935969868,0.08178559791463018,0.9182144020853699,0.9789949370266539
-5.0,0.7,21437,21296,141,0.8355304456999372,0.02297165200391007,0.97702834799609,0.9934225871157345
-5.0,0.8,18957,18943,14,0.7432124921531701,0.002280873248615184,0.9977191267513849,0.999261486522129
-5.0,0.9,16812,16812,0,0.6596045197740112,0.0,1.0,1.0
0.0,0.1,32158,30554,1604,1.0,1.0,0.0,0.9501212761987686
0.0,0.2,32147,30554,1593,1.0,0.993142144638404,0.006857855361595999,0.9504463869101316
0.0,0.3,31903,30550,1353,0.9998690842442888,0.8435162094763092,0.15648379052369077,0.9575901952794408
0.0,0.4,31522,30527,995,0.9991163186489495,0.6203241895261845,0.3796758104738155,0.9684347439883256
0.0,0.5,30691,30108,583,0.9854028932382012,0.3634663341645885,0.6365336658354115,0.981004203186602
0.0,0.6,28750,28494,256,0.9325783858087321,0.1596009975062344,0.8403990024937655,0.991095652173913
0.0,0.7,25547,25447,100,0.8328533088957256,0.06234413965087282,0.9376558603491272,0.9960856460641171
0.0,0.8,19920,19901,19,0.6513386136021471,0.011845386533665835,0.9881546134663342,0.9990461847389558
0.0,0.9,15078,15078,0,0.49348694115336783,0.0,1.0,1.0
3.0,0.1,33826,33167,659,1.0,1.0,0.0,0.9805179447762077
3.0,0.2,33825,33167,658,1.0,0.9984825493171472,0.0015174506828528056,0.9805469327420547
3.0,0.3,33744,33162,582,0.9998492477462538,0.8831562974203339,0.11684370257966614,0.9827524893314367
3.0,0.4,33570,33106,464,0.9981608225042964,0.7040971168437026,0.2959028831562974,0.9861781352397975
3.0,0.5,32943,32648,295,0.9843519160611451,0.44764795144157815,0.5523520485584219,0.9910451385726862
3.0,0.6,30912,30758,154,0.9273675641450839,0.2336874051593323,0.7663125948406677,0.9950181159420289
3.0,0.7,27238,27174,64,0.8193083486598125,0.09711684370257967,0.9028831562974203,0.9976503414347603
3.0,0.8,19848,19834,14,0.5980040401604004,0.021244309559939303,0.9787556904400607,0.9992946392583636
3.0,0.9,13116,13116,0,0.3954533120270148,0.0,1.0,1.0
6.0,0.1,31927,31653,274,1.0,1.0,0.0,0.9914179221348701
6.0,0.2,31925,31653,272,1.0,0.9927007299270073,0.007299270072992692,0.9914800313234142
6.0,0.3,31899,31645,254,0.9997472593435062,0.927007299270073,0.07299270072992703,0.9920373679425687
6.0,0.4,31764,31552,212,0.9968091492117651,0.7737226277372263,0.22627737226277367,0.9933257776098728
6.0,0.5,31221,31078,143,0.9818342653145041,0.5218978102189781,0.4781021897810219,0.9954197495275616
6.0,0.6,29343,29269,74,0.9246832843648312,0.27007299270072993,0.7299270072992701,0.9974781038067001
6.0,0.7,25883,25846,37,0.8165418759675228,0.13503649635036497,0.864963503649635,0.9985704902831974
6.0,0.8,18470,18461,9,0.5832306574416327,0.032846715328467155,0.9671532846715328,0.9995127233351381
6.0,0.9,11186,11186,0,0.3533946229425331,0.0,1.0,1.0
